id,name,meal_type,calories,protein_g,carbs_g,fat_g,diet_type,cost_per_serving,cuisine,prep_time_min,ingredients,preparation_steps
1,Classic Vegetable Upma,Breakfast,250,6,40,8,Veg,30,Indian,25,"1 cup semolina (rava), 1 tbsp oil, 1 tsp mustard seeds, 1 tsp urad dal, 1 chopped onion, 1/4 cup chopped carrot, 1/4 cup beans, 2 cups water, salt to taste, curry leaves","Heat oil in a pan. Add mustard seeds and let them splutter. Add urad dal and sauté until golden. Add chopped onions and cook until translucent. Add carrots and beans and sauté for 3 minutes. Add water and salt, bring to boil. Slowly add semolina while stirring continuously to avoid lumps. Cook until thick and soft. Cover and steam for 2 minutes before serving."
2,Masala Scrambled Eggs,Breakfast,300,18,5,22,Non-veg,40,Indian,15,"3 eggs, 1 tbsp butter, 1 chopped onion, 1 chopped green chili, 1/4 tsp turmeric, salt, pepper","Beat eggs in a bowl with salt and pepper. Heat butter in a pan. Add onions and green chili, sauté until soft. Add turmeric and stir. Pour beaten eggs and cook on low flame while stirring continuously until soft and fluffy."
3,Greek Yogurt Fruit Bowl,Breakfast,220,12,30,5,Veg,45,Greek,10,"1 cup Greek yogurt, 1/4 cup blueberries, 1/4 cup strawberries, 1 tbsp honey, 1 tbsp chia seeds",Add yogurt to bowl. Top with sliced fruits. Drizzle honey. Sprinkle chia seeds. Serve immediately.
4,Vegetable Fried Rice,Lunch,480,12,75,14,Veg,60,Chinese,30,"2 cups cooked rice, 1/2 cup mixed vegetables, 1 tbsp soy sauce, 1 tsp garlic paste, 1 tbsp oil, salt",Heat oil in wok. Add garlic paste and sauté. Add vegetables and cook for 5 minutes. Add rice and mix well. Add soy sauce and salt. Stir fry on high flame for 5 minutes.
5,Chicken Biryani,Lunch,650,35,80,20,Non-veg,120,Indian,60,"2 cups basmati rice, 500g chicken, 1 cup yogurt, 2 onions sliced, 1 tbsp ginger garlic paste, biryani spices, salt, oil",Marinate chicken with yogurt and spices for 30 minutes. Fry onions until golden. Cook chicken with marinade until tender. Parboil rice separately. Layer rice and chicken in pot. Cook on low heat for 20 minutes. Garnish with fried onions.
6,Paneer Butter Masala,Dinner,650,25,20,50,Veg,120,Indian,40,"250g paneer cubes, 2 tomatoes, 1 onion, 1 tbsp butter, 1/2 cup cream, spices",Sauté onion and tomatoes. Blend into smooth paste. Heat butter and add paste. Cook for 5 minutes. Add spices and cream. Add paneer cubes and simmer for 10 minutes.
7,Grilled Salmon,Dinner,480,40,5,30,Non-veg,150,Continental,25,"200g salmon fillet, 1 tbsp olive oil, salt, pepper, lemon juice","Rub salmon with olive oil, salt and pepper. Preheat grill to medium heat. Grill salmon 6–8 minutes each side. Drizzle lemon juice before serving."
8,Tofu Stir Fry,Dinner,400,22,30,20,Veg,80,Chinese,25,"200g tofu cubes, 1 cup broccoli, 1 tbsp soy sauce, 1 tsp garlic, 1 tbsp oil",Heat oil in pan. Add garlic and sauté. Add tofu cubes and cook until golden. Add broccoli and cook 5 minutes. Add soy sauce and stir.
9,Chicken Caesar Salad,Lunch,450,36,18,24,Non-veg,95,Italian,20,"150g grilled chicken, 2 cups lettuce, 2 tbsp Caesar dressing, croutons",Slice grilled chicken. Toss lettuce with dressing. Add chicken slices and top with croutons.
10,Quinoa Veg Bowl,Dinner,380,16,55,10,Veg,85,Mediterranean,25,"1 cup quinoa, 1/2 cup chickpeas, cucumber, olive oil",Cook quinoa as per instructions. Mix with chickpeas and vegetables. Drizzle olive oil.
11,Beef Tacos,Lunch,500,28,40,25,Non-veg,110,Mexican,30,"200g minced beef, taco shells, lettuce, tomato, spices",Cook beef with spices until browned. Fill taco shells with beef and toppings.
12,Vegetable Lasagna,Lunch,550,18,70,20,Veg,130,Italian,50,"Lasagna sheets, tomato sauce, mixed vegetables, cheese","Layer sheets, sauce and vegetables in baking dish. Top with cheese. Bake at 180°C for 30 minutes."
13,Chicken Curry,Dinner,550,38,20,35,Non-veg,100,Indian,45,"500g chicken, onion, tomato, ginger garlic paste, spices",Sauté onions. Add ginger garlic paste and tomatoes. Add spices and chicken. Cook until tender.
14,Oats Pancakes,Breakfast,320,10,55,8,Veg,35,American,20,"1 cup oats flour, 1 egg, 1/2 cup milk, honey",Mix ingredients into smooth batter. Pour onto heated pan. Cook both sides until golden.
15,Shrimp Stir Fry,Dinner,450,32,25,20,Non-veg,140,Chinese,25,"200g shrimp, vegetables, soy sauce, garlic","Heat oil, sauté garlic. Add shrimp and cook until pink. Add vegetables and soy sauce. Stir fry 5 minutes."
16,Vegetable Pulao,Lunch,520,12,80,15,Veg,60,Indian,35,"1 cup basmati rice, 1/2 cup mixed vegetables (carrot, beans, peas), 1 sliced onion, 1 tsp ginger-garlic paste, 1 tbsp oil, 2 cups water, salt, whole spices (bay leaf, cloves)",Heat oil in a pressure cooker. Add whole spices and sauté for 30 seconds. Add sliced onions and cook until golden. Add ginger-garlic paste and sauté. Add vegetables and cook for 3 minutes. Add washed rice and water. Add salt and mix well. Pressure cook for 2 whistles. Let steam release naturally. Fluff and serve.
17,Chicken Fried Rice Deluxe,Lunch,580,32,75,18,Non-veg,90,Chinese,30,"2 cups cooked rice, 200g chicken breast diced, 1 egg, 1/2 cup vegetables, 1 tbsp soy sauce, 1 tbsp oil, garlic","Heat oil in wok. Add garlic and sauté. Add diced chicken and cook until done. Push to side, scramble egg. Add vegetables and stir fry. Add rice and soy sauce. Toss everything together for 5 minutes on high heat."
18,Spaghetti Carbonara,Dinner,650,28,70,30,Non-veg,120,Italian,25,"200g spaghetti, 100g bacon, 2 eggs, 1/2 cup grated parmesan, black pepper, salt",Boil spaghetti in salted water. Fry bacon until crispy. Beat eggs with parmesan and pepper. Drain pasta and mix immediately with bacon. Remove from heat and quickly stir in egg mixture to create creamy sauce. Serve hot.
19,Vegetable Curry Coconut,Dinner,480,10,40,28,Veg,75,Thai,35,"1 cup mixed vegetables, 1 cup coconut milk, 1 tbsp curry paste, 1 tsp oil, salt",Heat oil in pan. Add curry paste and sauté for 1 minute. Add vegetables and cook 5 minutes. Pour coconut milk and simmer for 10 minutes. Add salt and serve.
