id,exercise_name,category,calories_burn_per_30min,difficulty,goal,equipment_required,suggested_instructions
1,Pull-ups,Cardio,412,Medium,Weight Loss,Gym Machine,"3 sets of 8-12 reps or max in 30 min"
2,Dynamic Stretching,Cardio,134,Hard,Weight Loss,None,"Full body dynamic stretches, 30 min"
3,Bodyweight Squats,Strength,243,Easy,Muscle Gain,None,"3 sets of 15-20 reps"
4,Push-ups,Cardio,161,Hard,Weight Loss,None,"3 sets to failure or 30 min circuit"
5,Russian Twists,Strength,281,Medium,Muscle Gain,Yoga Mat,"3 sets of 20 reps each side"
6,Stationary Cycling,Strength,415,Hard,Muscle Gain,Treadmill,"30 min moderate-high resistance"
7,Russian Twists,Core,417,Easy,Maintain Weight,None,"3 sets of 15 reps each side"
8,High Knees,Cardio,111,Medium,Weight Loss,None,"30 sec on, 30 sec rest, 10 rounds"
9,Russian Twists,Cardio,426,Medium,Weight Loss,Yoga Mat,"3 sets of 25 reps each side"
10,Pilates Band Rows,Strength,448,Hard,Muscle Gain,Resistance Bands,"3 sets of 12 reps"
11,Russian Twists with Weight,Cardio,216,Medium,Weight Loss,Dumbbells,"3 sets of 15 reps holding light dumbbell"
12,Bench Press,Core,396,Medium,Maintain Weight,Barbell,"3 sets of 10-12 reps"
13,Assisted Pull-ups,Core,341,Medium,Maintain Weight,Resistance Bands,"3 sets of 8-10 reps with band"
14,Leg Press,Cardio,372,Medium,Weight Loss,Gym Machine,"3 sets of 15 reps, 30 min total"
15,Mountain Climbers,Strength,442,Medium,Muscle Gain,None,"30 sec on, 30 sec rest, 8 rounds"
16,Swimming Laps,Flexibility,177,Easy,Maintain Weight,None,"30 min easy laps (pool required)"
17,Crunches,Strength,238,Easy,Muscle Gain,Yoga Mat,"3 sets of 20 reps"
18,Swimming Laps,Cardio,403,Easy,Weight Loss,None,"30 min moderate laps (pool required)"
19,Stationary Cycling,Cardio,235,Medium,Weight Loss,Treadmill,"30 min moderate pace"
20,Sun Salutation Flow,Cardio,326,Medium,Weight Loss,Yoga Mat,"10 rounds in 30 min"
21,Swimming Laps,Core,390,Medium,Maintain Weight,None,"30 min mixed strokes (pool required)"
22,Leg Press,Core,397,Hard,Maintain Weight,Gym Machine,"3 sets of 12 reps"
23,Plank Hold,Cardio,122,Easy,Weight Loss,None,"Hold 60 sec, 3-5 rounds"
24,Burpees,Strength,177,Medium,Muscle Gain,None,"3 sets of 10 reps or 30 min AMRAP"
25,Hanging Leg Raises,Strength,191,Medium,Muscle Gain,Gym Machine,"3 sets of 10-12 reps"
26,Swimming Laps,Flexibility,164,Medium,Maintain Weight,None,"30 min easy swim (pool required)"
27,Lying Leg Raises,Flexibility,331,Easy,Maintain Weight,Yoga Mat,"3 sets of 15 reps"
28,Swimming Laps,Strength,385,Easy,Muscle Gain,None,"30 min laps with focus (pool required)"
29,Goblet Squats,Core,193,Medium,Maintain Weight,Dumbbells,"3 sets of 12 reps"
30,Shadow Boxing,Flexibility,141,Medium,Maintain Weight,None,"30 min light punches and footwork"
31,Walking Lunges,Core,241,Easy,Maintain Weight,None,"3 sets of 12 reps each leg"
32,Treadmill Running,Core,135,Medium,Maintain Weight,Treadmill,"30 min easy jog"
33,Russian Twists,Cardio,345,Easy,Weight Loss,Yoga Mat,"3 sets of 20 reps each side"
34,Bench Press,Strength,199,Hard,Muscle Gain,Barbell,"3 sets of 8-10 reps"
35,Plank Hold,Cardio,412,Medium,Weight Loss,Yoga Mat,"45-60 sec hold, 5 rounds"
36,Deadlifts,Core,185,Medium,Maintain Weight,Barbell,"3 sets of 8-10 reps"
37,Treadmill Running,Cardio,175,Easy,Weight Loss,Treadmill,"30 min brisk walk or light jog"
38,Mountain Climbers,Core,337,Medium,Maintain Weight,Yoga Mat,"30 sec on 30 sec off, 8 rounds"
39,Pull-ups,Core,389,Easy,Maintain Weight,Gym Machine,"3 sets of 6-10 reps"
40,Burpees,Flexibility,311,Easy,Maintain Weight,None,"3 sets of 8 reps"
41,Bent-Over Barbell Rows,Strength,177,Hard,Muscle Gain,Barbell,"3 sets of 10 reps"
42,Crunches,Strength,271,Medium,Muscle Gain,Yoga Mat,"3 sets of 25 reps"
43,Swimming Laps,Strength,245,Hard,Muscle Gain,None,"30 min intensity laps (pool required)"
44,Burpees,Strength,218,Easy,Muscle Gain,None,"4 sets of 8 reps"
45,Treadmill Running,Strength,305,Medium,Muscle Gain,Treadmill,"30 min interval sprints"
46,Bodyweight Squats,Flexibility,207,Easy,Maintain Weight,None,"3 sets of 15 reps, slow tempo"
47,Hip Mobility Drills,Strength,292,Medium,Muscle Gain,Yoga Mat,"30 min hip openers and activation"
48,Swimming Laps,Cardio,322,Easy,Weight Loss,None,"30 min continuous (pool required)"
49,Burpees,Core,122,Medium,Maintain Weight,None,"30 sec on 30 sec off, 6 rounds"
50,Yoga Flow with Bands,Flexibility,344,Hard,Weight Loss,Resistance Bands,"30 min flow using band for resistance"
51,Mountain Climbers,Flexibility,342,Hard,Maintain Weight,None,"30 sec on 30 sec off, 8 rounds"
52,Bench Press,Cardio,311,Hard,Weight Loss,Barbell,"Circuit: 3 sets of 12 reps"
53,Zumba,Core,426,Easy,Maintain Weight,None,"30 min dance cardio"
54,Lunges,Flexibility,159,Medium,Maintain Weight,None,"3 sets of 12 reps each leg"
55,Pull-ups,Strength,332,Easy,Muscle Gain,Gym Machine,"3 sets of 8-12 reps"
56,Jump Rope,Flexibility,283,Easy,Maintain Weight,None,"30 min alternating pace"
57,Jump Rope,Cardio,277,Medium,Weight Loss,None,"30 sec on 30 sec rest, 15 rounds"
58,Swimming Laps,Cardio,319,Hard,Weight Loss,None,"30 min high effort (pool required)"
59,Push-ups,Flexibility,332,Easy,Maintain Weight,Yoga Mat,"3 sets of 12-15 reps"
60,Leg Press,Cardio,97,Hard,Weight Loss,Gym Machine,"3 sets of 20 reps"
61,High Knees,Strength,173,Easy,Muscle Gain,None,"30 sec on 30 sec off, 10 rounds"
62,Mat Pilates,Cardio,178,Hard,Weight Loss,None,"30 min mat pilates routine"
63,Plank Hold,Cardio,371,Easy,Weight Loss,Yoga Mat,"60 sec hold, 5 rounds"
64,Punching Bag,Core,176,Hard,Maintain Weight,Gym Machine,"30 min combinations (bag optional)"
65,Static Stretching,Cardio,225,Hard,Weight Loss,Yoga Mat,"30 min full body stretch"
66,Side Plank,Flexibility,146,Hard,Maintain Weight,Yoga Mat,"30 sec each side, 3 rounds"
67,Bench Press,Core,423,Hard,Maintain Weight,Barbell,"3 sets of 10 reps"
68,Leg Press,Strength,149,Medium,Muscle Gain,Gym Machine,"3 sets of 12-15 reps"
69,Pilates Hundred,Core,300,Hard,Maintain Weight,Resistance Bands,"30 min core-focused pilates"
70,Side Plank,Flexibility,434,Hard,Maintain Weight,Yoga Mat,"45 sec each side, 4 rounds"
71,Mountain Climbers,Cardio,162,Medium,Weight Loss,None,"30 sec on 30 sec off, 8 rounds"
72,Pull-ups,Cardio,446,Medium,Weight Loss,Gym Machine,"EMOM 5 pull-ups for 30 min"
73,Bicep Curls,Core,261,Medium,Maintain Weight,Dumbbells,"3 sets of 12 reps"
